Tijd (duur);Berlagebrug;Haarlemersluis;Korte Niezel;Korte Prinsengracht/Brouwersgracht;Nieuwe Meersluis;Prinsengracht/Leidsegracht;Prinsengracht/Reguliersgracht;Prinsengracht/Leliegracht;Reguliersgracht, zicht op 7 bogen;Singelgracht-Amstel;St. Antoniesluis/Snoekjesgracht;Gemiddelde
9:00-10:00;52;5;4;20;7;33;16;17;19;37;16;21
10:00-11:00;72;24;12;44;14;65;50;44;38;85;42;45
11:00-12:00;108;40;24;68;29;112;82;82;72;139;72;73
12:00-13:00;141;44;38;91;54;140;116;91;88;180;82;97
13:00-14:00;179;57;46;102;62;165;142;84;74;237;99;113
14:00-15:00;252;58;67;106;65;188;154;108;89;291;109;135
15:00-16:00;290;60;75;102;87;229;178;102;107;355;118;155
16:00-17:00;285;63;82;135;96;299;180;94;105;310;127;161
17:00-18:00;273;57;87;104;79;215;180;102;98;243;127;142
18:00-19:00;298;60;89;106;96;174;160;116;111;293;128;148
19:00-20:00;231;63;76;110;54;160;175;121;97;325;123;140
20:00-21:00;191;64;77;103;57;181;146;100;105;271;115;128
21:00-22:00;103;51;61;80;38;100;105;79;83;205;98;91
22:00-23:00;37;28;39;31;24;83;56;41;47;128;48;51
Totaal;2513;675;775;1203;762;2142;1739;1155;1135;3100;1302;1500
