gebiednaam,sdnaam,BHVESTAIRBNB
Centrum-West,Centrum,3525.0
Centrum-Oost,Centrum,2766.0
Westerpark,West,2125.0
Bos en Lommer,West,1551.0
De Baarsjes - Oud-West,West,4868.0
Sloterdijk Nieuw-West,Nieuw-West,18.0
Geuzenveld - Slotermeer,Nieuw-West,375.0
Osdorp,Nieuw-West,270.0
De Aker - Nieuw Sloten,Nieuw-West,204.0
Slotervaart,Nieuw-West,616.0
Zuid,Zuid,2045.0
Buitenveldert - Zuidas,Zuid,408.0
De Pijp - Rivierenbuurt,Zuid,3593.0
Oud-Oost,Oost,1747.0
Oostelijk Havengebied - Indische Buurt,Oost,1350.0
Watergraafsmeer,Oost,761.0
IJburg - Zeeburgereiland,Oost,637.0
Noord-West,Noord,427.0
Oud-Noord,Noord,796.0
Noord-Oost,Noord,365.0
"Weesp, Driemond",Weesp,
Bijlmer-West,Zuidoost,5.0
Bijlmer-Centrum,Zuidoost,149.0
Bijlmer-Oost,Zuidoost,133.0
Gaasperdam - Driemond,Zuidoost,153.0
